participant_id,transcript_id,question_ref,tag,severity,sentiment,quote,source_line_start,source_line_end
PL21,en_translated_from_pl_participant_0021,Q4,Practical Task Automation,High,neutral,"I use AI to summarize articles that interest me, to pick out the important elements as help in searching for interesting places for bike trips, and as assistance with techniques for doing jobs around the house.",16,16
PL21,en_translated_from_pl_participant_0021,Q4,Route Planning Assistance,Medium,neutral,I provide a destination and expect in response interesting places located not far from that destination. I place those spots into the planned route.,20,20
PL21,en_translated_from_pl_participant_0021,Q4,DIY Material Guidance Need,Medium,neutral,I state what needs to be done and expect in response what materials and tools I'll need.,24,24
PL21,en_translated_from_pl_participant_0021,Q5,Context Loss Frustration,High,negative,I wanted to fill the space between the window frame and the walls after a replacement and I couldn't get information on which material should be used.,29,29
PL21,en_translated_from_pl_participant_0021,Q5,Material-Specific Gap,High,negative,"Because of different underlying materials, I didn't get information about the specific material that should be used.",33,33
PL21,en_translated_from_pl_participant_0021,Q6,Moderate Trust Level,Medium,neutral,3 – I trust moderately,38,38
PL21,en_translated_from_pl_participant_0021,Q8,Multi-Format Resource Expectation,High,positive,"An ideal AI assistant should not only be able to answer a question, but also find, for example, video materials that answer such a question or give concrete solutions for a given problem.",47,47
PL21,en_translated_from_pl_participant_0021,Q8,Verified Product Recommendations,High,positive,It should be able to point to specific products or materials whose quality is confirmed by users.,51,51
PL21,en_translated_from_pl_participant_0021,Q9,System Integration Need,Medium,positive,"It would enable better information management, placing them in the calendar, and managing projects over time.",56,56
PL21,en_translated_from_pl_participant_0021,Q9,Project Timeline Planning,High,positive,"Knowing the scope of the task, it could plan and put into the calendar the information needed to get the thing done.",60,60
PL21,en_translated_from_pl_participant_0021,Q11,Human Interaction Gap,High,negative,"For now it's hard to get used to that kind of conversation, because it's not the same interaction as talking to a human, if only because you don't see the other side's reactions.",70,70
PL21,en_translated_from_pl_participant_0021,Q11,Reaction Absence Adjustment,Medium,neutral,"The lack of reaction doesn't affect openness or honesty in the answers; it just requires getting used to the fact that there is no immediate reaction on the other side, for example facial expressions.",74,74
